"","x"
"atka_mackerel",0.255459418769901
"pacific_cod_adult",0.15276329560906
"walleye_pollock_adult",0.378423024380418
"arrowtooth_flounder_adult",0.123691705059724
"flathead_sole_adult",0.0986284506213754
"shallow_water_flatfish",0.0955200166962608
"deep_water_flatfish",0.102656633999502
"pacific_ocean_perch_adult",0.0205575767114513
"slope_rockfish",0.0562300111339283
"demersal_shelf_rockfish",0.0347212136078905
"pelagic_shelf_rockfish",0.0296284843999766
"sablefish_adult",0.171331462770012
"rex_sole_adult",0.115706841446614
"octopus",0.356875293989084
