"Species","Tmax","Topt","Q10"
"Arrowtooth flounder juvenile",26,20.512,2.497
"Arrowtooth flounder adult",26,20.512,2.497
"Atka mackerel",19.06,17.154,2.3
"Flathead sole adult",19.06,17.154,2.3
"gr_turbot_juv",20.2,18.18,2.3
"gr_turbot_adu",20.2,18.18,2.3
"kamchatka",19.9,17.91,2.3
"north_rockfish",12.8,11.52,2.3
"Octopus",20,18,2.3
"oth_flatfish",27,24.3,2.3
"oth_rockfish",28.61,25.749,2.3
"Pacific cod juvenile",21,13.7,2.41
"Pacific cod adult",21,13.7,2.41
"ak_plaice",15.3,13.77,2.3
"Pacific ocean perch adult",19.06,17.154,2.3
"Walleye pollock juvenile",15,10,2.6
"Walleye pollock adult",15,10,2.6
"nr_sole",19.06,13,2.3
"rougheye_rock",19.06,17.154,2.3
"Sablefish adult",22.4,17.6,2.2
"sharks",19.99,17.991,2.3
"shortraker_rock",19.06,17.154,2.3
"skates",19.06,17.154,2.3
"yf_sole",19.06,17.154,2.3
"Pacific herring adult",19.9,17.91,2.3
"Pacific halibut juvenile",18,12.97,3.084
"Pacific halibut adult",18,12.97,3.084
"lg_sculpins",12.7,11.43,2.3
"Squid",23.18,20.862,2.3
"Pacific capelin",19.06,17.154,2.3
"Pacific sandlance",20.63,18.567,2.3
