"","Node","Group_name","Biomass","Production_biomass","Consumption_biomass","Diet","Catch"
"1",1,"Transient killer whales","5","6","3","2",NA
"2",2,"Resident killer whales","5","7","4","3",NA
"3",3,"Offshore killer whales","5","6","3","2","6"
"4",4,"Other toothed whales","4","3","5","4",NA
"5",5,"Humpback whale","4","7","4","4",NA
"6",6,"Other baleen whales","4","4","3","2","5"
"7",7,"Dolphins & porpoises","4","3","3","2","5"
"8",8,"Northern Elephant seals","3","5","4","2",NA
"9",9,"N. fur seal adult","4","5","4","3","5"
"10",10,"N.fur seal juv","4","5","2","3",NA
"11",11,"Steller sea lion","5","5","4","4","5"
"12",12,"Harbor seal","5","5","4","4","5"
"13",13,"Sea otter","4","5","4","4","5"
"14",14,"Piscivorous surface birds","4","3","3","2","4"
"15",15,"Planktivorous surface birds","4","3","3","2","4"
"16",16,"Piscivorous diving birds","3","3","3","2","4"
"17",17,"Planktivorous diving birds","4","3","3","2","4"
"18",18,"Salmon returning","2","4","4","3","5"
"19",19,"Salmon outgoing","2","3","3","2","5"
"20",20,"Pacific hake","1","2","2","2",NA
"21",21,"Pacific herring adult","5","3","3","3","5"
"22",22,"Pacific herring juv","4","5","5","2",NA
"23",23,"Pacific sandlance","1","2","2","2","4"
"24",24,"Pacific capelin","1","2","2","2","4"
"25",25,"Shelf forage fish","1","2","2","2","4"
"26",26,"Slope forage fish","1","2","2","2",NA
"27",27,"Pacific dogfish","2","2","2","2","4"
"28",28,"Salmon shark","3","2","2","2","4"
"29",29,"Pacific sleeper shark","4","2","2","4","4"
"30",30,"Big skate","4","2","2","4","4"
"31",31,"Longnose skate","4","2","2","4","4"
"32",32,"Other skates","5","2","2","4","4"
"33",33,"Pacific halibut adult","5","6","6","6","5"
"34",34,"Pacific halibut juv","4","5","5","6",NA
"35",35,"Arrowtooth flounder adult","6","6","6","6","6"
"36",36,"Arrowtooth flounder juv","4","5","5","6",NA
"37",37,"Rex sole adult","4","3","3","5","6"
"38",38,"Rex sole juv","1","3","3","5",NA
"39",39,"Flathead sole adult","5","6","6","6","6"
"40",40,"Flathead sole juv","1","5","5","6",NA
"41",41,"Shallow-water flatfish","1","3","3","6","5"
"42",42,"Deep-water flatfish","4","3","3","5","6"
"43",43,"Pacific ocean perch adult","5","6","6","6","6"
"44",44,"Pacific ocean perch juv","4","5","5","6",NA
"45",45,"Slope rockfish","1","3","3","5","5"
"46",46,"Demersal shelf rockfish","1","3","3","4","5"
"47",47,"Pelagic shelf rockfish","4","3","3","5","6"
"48",48,"Thornyhead adult","4","6","6","5","6"
"49",49,"Sablefish adult","4","4","4","5","6"
"50",50,"Sablefish juv","1","3","3","5",NA
"51",51,"Pacific cod adult","5","6","6","6","6"
"52",52,"Pacific cod juv","1","5","5","6",NA
"53",53," Walleye pollock adult","5","5","5","6","6"
"54",54,"Walleye pollock juv","1","5","5","6",NA
"55",55,"Large sculpins","5","2","2","4",NA
"56",56,"Lingcod","4","2","2","2","5"
"57",57,"Atka mackerel","4","4","4","4",NA
"58",58,"Shelf demersal","1","2","2","3",NA
"59",59,"Slope demersal fish","1","2","2","2","2"
"60",60,"Miscellaneous deep-sea fish","1","2","2","2",NA
"61",61,"Squid","1","2","2","2","4"
"62",62,"Octopus","1","2","2","2","4"
"63",63,"Tanner crab","1","3","4","2","5"
"64",64,"King crab","3","3","4","2","5"
"65",65,"Pandalid shrimp","1","4","3","2","4"
"66",66,"Nonpandalid shrimp","1","3","3","2",NA
"67",67,"Motile epifauna","1","3","2","2","4"
"68",68,"Benthic zooplankton","1","3","2","2",NA
"69",69,"Sessile epifauna","1","3","2","2","4"
"70",70,"Infauna","1","3","2","2","4"
"71",71,"Geltatinous carnivores","1","3","3","2",NA
"72",72,"Gelatinous omnivores","1","2","2","2",NA
"73",73,"Mysids","1","2","2","2",NA
"74",74,"Pelagic amphipods","1","3","3","2",NA
"75",75,"Euphausiids","1","3","3","2",NA
"76",76,"Large copepods","1","2","3","2",NA
"77",77,"Small copepods","1","2","3","2",NA
"78",78,"Large microzooplankton","1","2","2","2",NA
"79",79,"Small microzooplankton","1","2","2","2",NA
"80",80,"Large phytoplankton","1","4",NA,NA,NA
"81",81,"Small phytoplankton","1","4",NA,NA,NA
"82",82,"Macroalgae","1",NA,NA,NA,NA
"83",83,"Benthic microbes","1","2","2","6",NA
