"","node","names"
"1","1","Transient killer whales"
"2","2","Resident killer whales"
"3","3","Offshore killer whales"
"4","4","Other toothed whales"
"5","5","Humpback whale"
"6","6","Other baleen whales"
"7","7","Dolphins & porpoises"
"8","8","Northern elephant seal"
"9","11","Steller sea lion"
"10","12","Harbor seal"
"11","13","Sea otter"
"12","14","Piscivorous surface birds"
"13","15","Planktivorous surface birds"
"14","16","Piscivorous diving birds"
"15","17","Planktivorous diving birds"
"16","18","Salmon returning"
"17","19","Salmon outgoing"
"18","20","Pacific hake"
"19","21","Pacific herring"
"20","23","Pacific sandlance"
"21","24","Pacific capelin"
"22","25","Shelf forage fish"
"23","26","Slope forage fish"
"24","27","Pacific dogfish"
"25","28","Salmon shark"
"26","29","Pacific sleeper shark"
"27","30","Big skate"
"28","31","Longnose skate"
"29","32","Other skates"
"30","33","Pacific halibut"
"31","35","Arrowtooth flounder"
"32","37","Rex sole "
"33","39","Flathead sole"
"34","41","Shallow-water flatfish"
"35","42","Deep-water flatfish"
"36","43","Pacific ocean perch"
"37","45","Slope rockfish"
"38","46","Demersal shelf rockfish"
"39","47","Pelagic shelf rockfish"
"40","48","Thornyheads"
"41","49","Sablefish"
"42","51","Pacific cod"
"43","53","Walleye pollock"
"44","55","Large sculpins"
"45","56","Lingcod"
"46","57","Atka mackerel"
"47","58","Shelf demersal fish"
"48","59","Slope demersal fish"
"49","60","Miscellaneous deep-sea fish"
"50","61","Squid"
"51","62","Octopus"
"52","63","Tanner crab"
"53","64","King crab"
"54","65","Pandalid shrimp"
"55","66","Nonpandalid shrimp"
"56","67","Motile epifauna"
"57","68","Benthic zooplankton"
"58","69","Sessile epifauna"
"59","70","Infauna"
"60","71","Gelatinous carnivores"
"61","72","Other gelatinous zooplankton"
"62","73","Mysids"
"63","74","Pelagic amphipods"
"64","75","Euphausiids"
"65","76","Large copepods"
"66","77","Small copepods"
"67","78","Large microzooplankton"
"68","79","Small microzooplankton"
"69","80","Large phytoplankton"
"70","81","Small phytoplankton"
"71","82","Macroalgae"
"72","83","Benthic microbes"
"73","84","Discards"
"74","85","Offal"
"75","86","Pelagic detritus"
"76","87","Benthic detritus"
