Species,Tmax,Topt,Q10,mean_st94,mean_bt94
arrowtooth_juv,26,20.512,2.497,7.624002748,2.994508751
arrowtooth_adu,26,20.512,2.497,7.624002748,2.994508751
atka,19.06,17.154,2.3,8.389980569,3.988885293
fh_sole,19.06,17.154,2.3,7.044322152,2.47305343
gr_turbot_juv,20.2,18.18,2.3,8.58303487,1.533524913
gr_turbot_adu,20.2,18.18,2.3,8.58303487,1.533524913
kamchatka,19.9,17.91,2.3,8.182927137,2.702910845
north_rockfish,12.8,11.52,2.3,7.65,2.7
octopus,20,18,2.3,7.985572543,2.63356651
oth_flatfish,27,24.3,2.3,7.539084521,3.505667851
oth_rockfish,28.61,25.749,2.3,7.45,2.4
pcod_juv,21,13.7,2.41,6.78846554,2.38657416
pcod_adu,21,13.7,2.41,6.78846554,2.38657416
ak_plaice,15.3,13.77,2.3,6.40013451,1.861146442
pac_ocean_perch,19.06,17.154,2.3,8.391024671,3.096278522
pollock_juv,15,10,2.6,7.348619556,2.207626329
pollock_adu,15,10,2.6,7.348619556,2.207626329
nr_sole,19.06,13,2.3,5.751973562,3.110674274
rougheye_rock,19.06,17.154,2.3,6.5,3.3
sablefish,22.4,17.6,2.2,7.916666667,4.066666667
sharks,19.99,17.991,2.3,7.633260459,3.184190284
shortraker_rock,19.06,17.154,2.3,,
skates,19.06,17.154,2.3,7.627504071,2.103847327
yf_sole,19.06,17.154,2.3,5.678554774,3.086475295
herring,19.9,17.91,2.3,5.285768697,3.98347107
halibut_juv,18,12.97,3.084,6.45058461,3.08123395
halibut_adu,18,12.97,3.084,6.45058461,3.08123395
lg_sculpins,12.7,11.43,2.3,10.04546188,2.654154605
squids,23.18,20.862,2.3,7.786492464,3.471040167
capelin,19.06,17.154,2.3,5.653168806,2.920348556
sandlance,20.63,18.567,2.3,5.501221945,4.780407502
